condition,scenario_id,layout,task_type,instruction_style,expected_status,predicted_status,task_success,primary_failure,api_error,empty_response,planner_solvable,val_valid,vlm_latency_seconds,planner_latency_seconds,val_latency_seconds,plan_length,plan_cost
normal,scenario_017,layout_2,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.092259440993075,,,,
normal,scenario_018,layout_2,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.17677772299794,,,,
normal,scenario_019,layout_3,navigation,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.27008190100605,,,,
normal,scenario_020,layout_3,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.318965671001934,,,,
normal,scenario_021,layout_3,navigation,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.652104755994515,,,,
normal,scenario_022,layout_3,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.949485149001703,,,,
normal,scenario_023,layout_3,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.221997806002037,,,,
normal,scenario_024,layout_3,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.315257456997642,,,,
normal,scenario_025,layout_3,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.237240399001166,,,,
normal,scenario_026,layout_3,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.053518136002822,,,,
normal,scenario_027,layout_3,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.235748228005832,,,,
labelled,scenario_001,baseline,navigation,precise,PDDL,PDDL,True,missing_fact,False,False,True,True,2.177158157006488,0.31297249799536075,0.03331877599703148,1,1.0
labelled,scenario_002,baseline,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,15.41900560000795,,,,
labelled,scenario_003,baseline,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,31.533129381990875,0.2388470579899149,0.011671519998344593,1,1.0
labelled,scenario_004,baseline,retrieval,precise,PDDL,PDDL,False,missing_fact,False,False,True,False,32.69943044800311,0.31908483400184195,0.024699451998458244,3,3.0
labelled,scenario_005,baseline,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,32.42023618299572,,,,
labelled,scenario_006,baseline,retrieval,novel,PDDL,PDDL,False,wrong_goal,False,False,True,False,31.634474134989432,0.2440300610032864,0.010488130006706342,3,3.0
labelled,scenario_007,baseline,multi_step,precise,PDDL,PDDL,False,missing_fact,False,False,True,False,32.130995864994475,0.2535743109910982,0.01243434900243301,3,3.0
labelled,scenario_008,baseline,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.11903748800978,,,,
labelled,scenario_009,baseline,multi_step,novel,PDDL,PDDL,False,wrong_goal,False,False,True,False,1.3139216260024114,0.29889263900986407,0.029903051996370777,3,3.0
labelled,scenario_010,layout_2,navigation,precise,PDDL,PDDL,True,missing_fact,False,False,True,True,16.21403043800092,0.23766828500083648,0.012978731014300138,1,1.0
labelled,scenario_011,layout_2,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,32.27819495400763,,,,
labelled,scenario_012,layout_2,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,33.0732770159957,0.2838245029997779,0.02609109399782028,1,1.0
labelled,scenario_013,layout_2,retrieval,precise,PDDL,PDDL,False,missing_fact,False,False,True,False,31.25598154499312,0.24295815300138202,0.012667945004068315,3,3.0
labelled,scenario_014,layout_2,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.348378588998457,,,,
labelled,scenario_015,layout_2,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.51878258000943,,,,
labelled,scenario_016,layout_2,multi_step,precise,PDDL,PDDL,False,missing_fact,False,False,True,False,31.404492282992578,0.23038064400316216,0.008855282998410985,3,3.0
labelled,scenario_017,layout_2,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.289962979004486,,,,
labelled,scenario_018,layout_2,multi_step,novel,PDDL,PDDL,False,wrong_goal,False,False,True,False,31.54255698500492,0.2376795879972633,0.010180325989495032,3,3.0
labelled,scenario_019,layout_3,navigation,precise,PDDL,PDDL,True,missing_fact,False,False,True,True,31.167455790011445,0.23946750898903701,0.012836437002988532,1,1.0
labelled,scenario_020,layout_3,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.58197341300547,,,,
labelled,scenario_021,layout_3,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,31.292842015987844,0.2458313340030145,0.012377242994261906,1,1.0
labelled,scenario_022,layout_3,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.322936253010994,,,,
labelled,scenario_023,layout_3,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,34.438157194003,,,,
labelled,scenario_024,layout_3,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,32.20367360700038,,,,
labelled,scenario_025,layout_3,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.05262458100333,,,,
labelled,scenario_026,layout_3,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,31.362853725004243,,,,
labelled,scenario_027,layout_3,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,31.362226558005204,,,,
no_image,scenario_001,baseline,navigation,precise,PDDL,PDDL,False,invalid_pddl,False,False,False,,0.7911203920084517,0.22768673101381864,,,
no_image,scenario_002,baseline,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,0.6236630450002849,,,,
no_image,scenario_003,baseline,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,0.7375474149885122,0.2667437120107934,0.025824998010648414,1,1.0
no_image,scenario_004,baseline,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,0.6485691300040344,,,,
no_image,scenario_005,baseline,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,0.609692737009027,,,,
no_image,scenario_006,baseline,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,12.8145647150086,,,,
no_image,scenario_007,baseline,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.822192068997538,,,,
no_image,scenario_008,baseline,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,12.757758510997519,,,,
no_image,scenario_009,baseline,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.914814847012167,,,,
no_image,scenario_010,layout_2,navigation,precise,PDDL,PDDL,False,invalid_pddl,False,False,False,,12.788868168005138,0.22346108801139053,,,
no_image,scenario_011,layout_2,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,11.779214316993603,,,,
no_image,scenario_012,layout_2,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,12.978688817005605,0.23734707800031174,0.014274001005105674,1,1.0
no_image,scenario_013,layout_2,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.764592441992136,,,,
no_image,scenario_014,layout_2,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,11.721689777987194,,,,
no_image,scenario_015,layout_2,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,12.759941076001269,,,,
no_image,scenario_016,layout_2,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,12.739012393998564,,,,
no_image,scenario_017,layout_2,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,11.682993949012598,,,,
no_image,scenario_018,layout_2,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,12.753577024996048,,,,
no_image,scenario_019,layout_3,navigation,precise,PDDL,PDDL,False,invalid_pddl,False,False,False,,12.833057326002745,0.2308762049942743,,,
no_image,scenario_020,layout_3,navigation,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,11.773674801006564,,,,
no_image,scenario_021,layout_3,navigation,novel,PDDL,PDDL,True,missing_fact,False,False,True,True,12.827505873996415,0.23695736299850978,0.011567667999770492,1,1.0
no_image,scenario_022,layout_3,retrieval,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.769594099998358,,,,
no_image,scenario_023,layout_3,retrieval,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,11.94431459599582,,,,
no_image,scenario_024,layout_3,retrieval,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,12.853853682012414,,,,
no_image,scenario_025,layout_3,multi_step,precise,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.813922076005838,,,,
no_image,scenario_026,layout_3,multi_step,ambiguous,CLARIFICATION_REQUIRED,CLARIFICATION_REQUIRED,True,,False,False,,,12.745370541000739,,,,
no_image,scenario_027,layout_3,multi_step,novel,PDDL,CLARIFICATION_REQUIRED,False,clarification_mismatch,False,False,,,11.775289884011727,,,,
